image,incidence_angle_deg,h,k,l,qr_family_m,legacy_branch_index,observed_column_px,observed_row_px,sigma_px,legacy_placement_error_px,legacy_raw_x,legacy_raw_y,source_reflection_index,source_row_index,legacy_two_theta_deg,legacy_phi_deg
Bi2Se3_5m_5d.osc,5.0,-2,0,5,4,1,530.7412402217451,1305.6064225877342,0.7644555879296918,0.14796062285936332,2468.258759778255,1305.6064225877342,356,161,54.62497998678959,-74.04776957916272
Bi2Se3_5m_5d.osc,5.0,-2,0,5,4,0,2492.7036524963823,1289.5637080761858,0.8959072786852587,0.49005086674877496,506.2963475036176,1289.5637080761858,356,13,52.98345526708428,72.0613020542794
Bi2Se3_5m_5d.osc,5.0,-2,1,9,3,0,2335.711115299495,1033.2773225403748,0.7782061693561274,0.20761705619707105,663.2888847005052,1033.2773225403748,287,30,52.270250608515774,54.518324501748054
Bi2Se3_5m_5d.osc,5.0,-2,1,9,3,1,694.7870130450633,1032.6343241597986,0.7542304733101812,0.07977221865850313,2304.2129869549367,1032.6343241597986,287,159,53.70105146687307,-56.517318646972356
Bi2Se3_5m_5d.osc,5.0,-1,0,14,1,0,1893.9204731651146,713.572877758743,0.7987362869718149,0.2747356113166281,1105.0795268348854,713.572877758743,209,83,51.660893262203864,21.498519627402374
Bi2Se3_5m_5d.osc,5.0,-1,0,14,1,1,1160.6449437418348,709.8817927276608,0.8156051427214481,0.32048673737562633,1838.3550562581652,709.8817927276608,209,38,52.184978277073505,-23.52576441323248
Bi2Se3_5m_5d.osc,5.0,-1,0,16,1,0,1787.5447092472848,434.5781488478592,1.3317409184566293,1.1004698423363117,1211.4552907527152,434.5781488478592,222,75,57.694273712324225,11.731261511970104
Bi2Se3_5m_5d.osc,5.0,-1,0,16,1,1,1260.1243412515905,424.44477702012756,0.8177772837920202,0.3259749773928275,1738.8756587484095,424.44477702012756,222,32,58.12173862631733,-13.731492900877527
Bi2Se3_5m_5d.osc,5.0,-2,0,10,4,1,360.387216552615,812.2507582439409,0.7529780429315909,0.06690241503181119,2638.612783447385,812.2507582439409,404,154,62.18388407651763,-56.544397092748454
Bi2Se3_5m_5d.osc,5.0,-2,0,10,4,0,2625.124046933491,827.9388083371612,0.81704236126531,0.32412685803862873,373.87595306650894,827.9388083371612,404,34,60.47377246701251,54.55205688796448
Bi2Se3_5m_5d.osc,5.0,-2,0,11,4,0,2672.024037890582,692.9043256744043,0.8234785785304779,0.34002495393511417,326.9759621094181,692.9043256744043,430,42,62.5383156247336,51.26262007242801
Bi2Se3_5m_5d.osc,5.0,-2,0,11,4,1,314.08731902499176,670.4340528108096,1.6640233077844733,1.4854203340637222,2684.9126809750082,670.4340528108096,430,120,64.04992833934595,-53.09238277621202
Bi2Se3_5m_5d.osc,5.0,-2,1,15,3,1,480.9735467846026,112.1126512361782,1.7137164288259323,1.5408841612619382,2518.0264532153974,112.1126512361782,302,122,67.67798657985506,-35.67914023128429
Bi2Se3_5m_5d.osc,5.0,-2,1,15,3,0,2491.26080358526,169.73686793863462,0.7587023840247411,0.11458319041127166,507.73919641474015,169.73686793863462,302,49,66.32781712333237,33.52540249807487
Bi2Se3_5m_5d.osc,5.0,-2,0,8,4,1,455.01286578058034,893.2129592829432,6.238360831008716,6.193112776129929,2543.9871342194197,893.2129592829432,383,153,59.98076925940881,-57.223336012690766
Bi2Se3_5m_5d.osc,5.0,-2,0,8,4,0,457.5413316735694,896.58360562215,6.305184990506981,6.260419935157267,2541.4586683264306,896.58360562215,383,13,59.905119241176784,-57.28820706961734
Bi2Se3_10d_5m.osc,10.0,0,0,3,0,1,1545.3243836224221,1481.0156524968525,0.8925698937148409,0.4839225301286585,1453.6756163775779,1481.0156524968525,11,62,8.710988696997616,-0.5258301693800149
Bi2Se3_10d_5m.osc,10.0,0,0,6,0,1,1540.9233274694695,1343.3123763150988,1.9824852555290462,1.835142443623946,1458.0766725305305,1343.3123763150988,19,75,18.61759236947663,-1.240196079875119
Bi2Se3_10d_5m.osc,10.0,0,0,9,0,1,1541.093134372883,1195.8763281018082,1.176824916722635,0.9068720332104396,1457.906865627117,1195.8763281018082,26,70,28.07418464223871,-0.7601409014382909
Bi2Se3_10d_5m.osc,10.0,-1,0,5,1,0,1902.987003322602,1375.3025273072747,0.9704248584770994,0.6158119891251698,1096.012996677398,1375.3025273072747,111,61,29.21021657426893,58.25608436341497
Bi2Se3_10d_5m.osc,10.0,-1,0,5,1,1,1172.6986190189016,1384.4861551169295,1.655350643750301,1.4756983952571527,1826.3013809810984,1384.4861551169295,111,122,29.790030519526123,-60.498009418491904
Bi2Se3_10d_5m.osc,10.0,-1,0,10,1,0,1931.100408140829,1095.946209364194,0.8538568593618809,0.4081317633795915,1067.899591859171,1095.946209364194,160,13,40.06898525817797,37.57787867858232
Bi2Se3_10d_5m.osc,10.0,-1,0,10,1,1,1129.8759244689907,1098.9396272033696,1.3495839090314115,1.121996759138147,1869.1240755310093,1098.9396272033696,160,153,40.84622783653166,-39.96536833879583
Bi2Se3_10d_5m.osc,10.0,-1,0,8,1,1,1149.8520917489018,1226.2625725723817,1.356159820905524,1.1298979864742227,1849.1479082510982,1226.2625725723817,138,172,35.86012672035191,-47.00800769165801
Bi2Se3_10d_5m.osc,10.0,-1,0,8,1,0,1917.11380578472,1219.9247096781762,0.7865620255540725,0.23702282599725574,1081.88619421528,1219.9247096781762,138,11,35.147423482538755,44.596311231116346
Bi2Se3_10d_5m.osc,10.0,-2,1,6,3,0,2299.675270555832,1287.625733288275,0.783574742245467,0.22691270719166437,699.3247294441678,1287.625733288275,280,61,47.34145053718378,67.7423100816448
Bi2Se3_10d_5m.osc,10.0,-2,1,6,3,1,742.4298818582552,1302.7790666578865,2.7027315969865016,2.59658585171937,2256.570118141745,1302.7790666578865,280,122,48.76740461851532,-69.96673508212896
Bi2Se3_10d_5m.osc,10.0,-1,0,13,1,1,1100.5838476873591,852.9720914793342,0.9383065488059404,0.5638432224759954,1898.4161523126409,852.9720914793342,202,155,49.120259736173175,-30.96524464762399
Bi2Se3_10d_5m.osc,10.0,-1,0,13,1,0,1949.4530955633606,855.6518896931542,1.1723405474798712,0.9010451482946923,1049.5469044366394,855.6518896931542,202,30,48.33780598064398,28.568022128112233
Bi2Se3_10d_5m.osc,10.0,-1,0,16,1,0,1933.151335581962,484.85757173139154,0.985753384305807,0.6396950325509428,1065.848664418038,484.85757173139154,222,83,57.482328528980034,19.19348186995225
Bi2Se3_10d_5m.osc,10.0,-1,0,16,1,1,1107.6136230661093,469.11978365491564,1.044835438994123,0.7274483449551877,1891.3863769338907,469.11978365491564,222,112,58.191326956625446,-21.275420128935536
Bi2Se3_10d_5m.osc,10.0,-2,0,5,4,1,520.9336286651496,1354.162833415134,0.8443151604112318,0.38777324572518423,2478.0663713348504,1354.162833415134,356,122,54.55404065939878,-76.73419829714555
